,responsable_institute,graduation_course,professor,course_id,course_name,day,time,capacity,classroom_type,term,class_type,blackboard_restriction
0,IC,BCC1-CMT1,PROFESSOR 1,ICP142,Organização de Dados,TER,10:00-12:00,60,T,2,Regular,FALSE
1,IC,BCC1,PROFESSOR 1,ICP145,Habilidades sociais para o trabalho,QUI,10:00-12:00,60,T,2,Regular,FALSE
2,IC,BCC1,PROFESSOR 1,ICP472,Metodologia da Pesquisa,"QUA,SEX",10:00-12:00,60,T,7,Regular,FALSE
3,IC,BCC2-CMT1,PROFESSOR 4,ICP133,Fundamentos de Sistemas de Computação,"TER,QUI",08:00-10:00,30,T,1,Veterano,FALSE
4,IC,BCC1,PROFESSOR 7,ICP362,Redes de Computadores I,"QUA,SEX",10:00-12:00,60,T,6,Regular,FALSE
5,IC,BCC1,PROFESSOR 7,ICP011,Tóp. Esp. em Ciência de Dados I,"SEG,QUA",08:00-10:00,30,,7,G,FALSE
6,IC,BCC1-CMT1-ASD1,PROFESSOR 8,ICP116,Estrutura de Dados,"TER,QUI",13:00-15:00,60,T,3,Regular,FALSE
7,IC,BCC1,PROFESSOR 10,ICP134,Números Inteiros e Criptografia,"TER,QUI",08:00-10:00,60,T,1,Calouro,FALSE
8,IC,BCC1,PROFESSOR 11,ICP363,Introdução ao Aprendizado de Máquina,"TER,QUI",13:00-15:00,60,T,6,Regular,FALSE
9,IC,BCC1,PROFESSOR 11,ICP473,Segurança da Informação,"QUA,SEX",08:00-10:00,60,T,7,Regular,FALSE
10,IC,BCC1,PROFESSOR 34,ICP135,Projeto de Carreira,"SEG,QUA",13:00-15:00,60,T,1,Calouro,FALSE
11,IC,BCC2-CMT1,PROFESSOR 34,ICP132,Processo de Software,"SEG,QUA",10:00-12:00,30,"T,P",1,Veterano,FALSE
12,IC,BCC1,PROFESSOR 12,ICP143,Projeto Prático,TER,13:00-15:00,30,T,2,Regular,FALSE
13,IC,BCC2-CMT1,PROFESSOR 12,ICP143,Projeto Prático,QUI,13:00-15:00,30,T,2,Regular,FALSE
14,IC,BCC1,PROFESSOR 12,ICP246,Arquitetura de Computadores e Sistemas Operacionais,"TER,QUI",10:00-12:00,60,T,4,Regular,FALSE
15,IC,BCC1,PROFESSOR 13,ICP131,Programação de Computadores I,"SEG,QUA",10:00-12:00,60,"T,P",1,Calouro,FALSE
16,IC,BCC1,PROFESSOR 13,ICP141,Programação de Computadores II,"QUA,SEX",08:00-10:00,60,"T,P",2,Regular,FALSE
17,IC,BCC1,PROFESSOR 14,ICP123,Linguagens Formais,"SEG,QUA",13:00-15:00,60,T,5,Regular,FALSE
18,IC,BCC1,PROFESSOR 15,ICP144,Matemática Discreta,"TER,QUI",08:00-10:00,60,T,2,Regular,FALSE
19,IC,BCC1,PROFESSOR 15,ICP370,Lógica e Computabilidade,"QUA,SEX",08:00-10:00,60,T,6,Regular,FALSE
20,IC,BCC1,PROFESSOR 16,ICP136,Introdução ao Pensamento Dedutivo,"SEG,QUA",08:00-10:00,60,T,1,Calouro,FALSE
21,IC,BCC2-CMT1,PROFESSOR 16,ICP136,Introdução ao Pensamento Dedutivo,"SEG,QUA",10:00-12:00,30,T,1,Veterano,FALSE
22,IC,BCC1,PROFESSOR 17,ICP238,Introdução a Computação Numérica,SEG,08:00-10:00,60,P,3,Regular,FALSE
23,IC,BCC1,PROFESSOR 17,ICP248,Computação Científica e Análise de dados,"QUA,SEX",10:00-12:00,60,"T,P",4,Regular,FALSE
24,IC,BCC1,PROFESSOR 18,ICP132,Processo de Software,"TER,QUI",13:00-15:00,60,"T,P",1,Calouro,FALSE
